20:51:09.133 -> Hum.00 %, Temp: 24.40 Celsius
20:51:09.133 -> Humidity: 37.00 %, Temp: 24.40 Celsius
20:51:11.138 -> Humidity: 38.00 %, Temp: 24.20 Celsius
20:51:13.201 -> Humidity: 38.00 %, Temp: 24.20 Celsius
20:51:15.217 -> Humidity: 38.00 %, Temp: 24.10 Celsius
20:51:17.220 -> Humidity: 38.00 %, Temp: 24.00 Celsius
20:51:19.283 -> Humidity: 38.00 %, Temp: 23.90 Celsius
20:51:21.299 -> Humidity: 39.00 %, Temp: 23.90 Celsius
20:51:23.315 -> Humidity: 39.00 %, Temp: 23.80 Celsius
20:51:25.377 -> Humidity: 39.00 %, Temp: 23.70 Celsius
20:51:27.393 -> Humidity: 39.00 %, Temp: 23.70 Celsius
20:51:29.409 -> Humidity: 40.00 %, Temp: 23.60 Celsius
20:51:31.424 -> Humidity: 40.00 %, Temp: 23.40 Celsius
20:51:33.487 -> Humidity: 40.00 %, Temp: 23.40 Celsius
20:51:35.503 -> Humidity: 40.00 %, Temp: 23.30 Celsius
20:51:37.519 -> Humidity: 40.00 %, Temp: 23.30 Celsius
20:51:39.581 -> Humidity: 41.00 %, Temp: 23.10 Celsius
20:51:41.597 -> Humidity: 41.00 %, Temp: 23.10 Celsius
20:51:43.613 -> Humidity: 41.00 %, Temp: 23.00 Celsius
20:51:45.675 -> Humidity: 41.00 %, Temp: 22.90 Celsius
20:51:47.691 -> Humidity: 41.00 %, Temp: 22.90 Celsius
20:51:49.707 -> Humidity: 42.00 %, Temp: 22.80 Celsius
20:51:51.723 -> Humidity: 42.00 %, Temp: 22.80 Celsius
20:51:53.785 -> Humidity: 42.00 %, Temp: 22.70 Celsius
20:51:55.801 -> Humidity: 42.00 %, Temp: 22.60 Celsius
20:51:57.817 -> Humidity: 42.00 %, Temp: 22.60 Celsius
20:51:59.880 -> Humidity: 43.00 %, Temp: 22.50 Celsius
20:52:01.896 -> Humidity: 43.00 %, Temp: 22.50 Celsius
20:52:03.911 -> Humidity: 43.00 %, Temp: 22.50 Celsius
20:52:05.927 -> Humidity: 43.00 %, Temp: 22.30 Celsius
20:52:07.990 -> Humidity: 43.00 %, Temp: 22.30 Celsius
20:52:10.005 -> Humidity: 43.00 %, Temp: 22.30 Celsius
20:52:12.021 -> Humidity: 43.00 %, Temp: 22.20 Celsius
20:52:14.084 -> Humidity: 44.00 %, Temp: 22.10 Celsius
20:52:16.100 -> Humidity: 44.00 %, Temp: 22.00 Celsius
20:52:18.115 -> Humidity: 44.00 %, Temp: 22.00 Celsius
20:52:20.178 -> Humidity: 44.00 %, Temp: 22.00 Celsius
20:52:22.194 -> Humidity: 44.00 %, Temp: 22.00 Celsius
20:52:24.209 -> Humidity: 43.00 %, Temp: 21.90 Celsius
20:52:26.225 -> Humidity: 44.00 %, Temp: 21.80 Celsius
20:52:28.288 -> Humidity: 44.00 %, Temp: 21.80 Celsius
20:52:30.303 -> Humidity: 44.00 %, Temp: 21.70 Celsius
20:52:32.319 -> Humidity: 44.00 %, Temp: 21.60 Celsius
20:52:34.382 -> Humidity: 44.00 %, Temp: 21.70 Celsius
20:52:36.398 -> Humidity: 44.00 %, Temp: 21.60 Celsius
20:52:38.413 -> Humidity: 44.00 %, Temp: 21.50 Celsius
20:52:40.476 -> Humidity: 45.00 %, Temp: 21.50 Celsius
20:52:42.492 -> Humidity: 45.00 %, Temp: 21.40 Celsius
20:52:44.508 -> Humidity: 45.00 %, Temp: 21.40 Celsius
20:52:46.523 -> Humidity: 45.00 %, Temp: 21.30 Celsius
20:52:48.586 -> Humidity: 45.00 %, Temp: 21.30 Celsius
20:52:50.602 -> Humidity: 45.00 %, Temp: 21.30 Celsius
20:52:52.617 -> Humidity: 45.00 %, Temp: 21.20 Celsius
20:52:54.680 -> Humidity: 46.00 %, Temp: 21.20 Celsius
20:52:56.696 -> Humidity: 46.00 %, Temp: 21.10 Celsius
20:52:58.712 -> Humidity: 46.00 %, Temp: 21.00 Celsius
20:53:00.727 -> Humidity: 46.00 %, Temp: 21.00 Celsius
20:53:02.790 -> Humidity: 46.00 %, Temp: 21.00 Celsius
20:53:04.806 -> Humidity: 46.00 %, Temp: 21.00 Celsius
20:53:06.822 -> Humidity: 45.00 %, Temp: 20.90 Celsius
20:53:08.884 -> Humidity: 46.00 %, Temp: 21.00 Celsius
20:53:10.900 -> Humidity: 46.00 %, Temp: 20.90 Celsius
20:53:12.916 -> Humidity: 46.00 %, Temp: 20.80 Celsius
