millis,stamp,datetime,motion
7999,1628494140, 2145/165/19 7:29:0,Active
8999,1628494140, 2145/165/19 7:29:0,Active
9999,1628494140, 2145/165/19 7:29:0,Active
10999,1628494140, 2145/165/19 7:29:0, Inactive
11999,1628494140, 2145/165/19 7:29:0, Inactive
12999,1628494140, 2145/165/19 7:29:0, Inactive
13999,1628494140, 2145/165/19 7:29:0, Inactive
14999,1628494140, 2145/165/19 7:29:0, Inactive
16000,1628494140, 2145/165/19 7:29:0, Inactive
16999,1628494140, 2145/165/19 7:29:0,Active
17999,1628494140, 2145/165/19 7:29:0,Active
18999,1628494140, 2145/165/19 7:29:0, Inactive
19998,1628494140, 2145/165/19 7:29:0, Inactive
20999,1628494140, 2145/165/19 7:29:0, Inactive
21999,1628494140, 2145/165/19 7:29:0, Inactive
22999,1628494140, 2145/165/19 7:29:0, Inactive
23999,1628494140, 2145/165/19 7:29:0, Inactive
24999,1628494140, 2145/165/19 7:29:0, Inactive
25999,1628494140, 2145/165/19 7:29:0, Inactive
26999,1628494140, 2145/165/19 7:29:0, Inactive
27999,1628494140, 2145/165/19 7:29:0, Inactive
28999,1628494140, 2145/165/19 7:29:0, Inactive
29999,1628494140, 2145/165/19 7:29:0, Inactive
30999,1628494140, 2145/165/19 7:29:0, Inactive
32000,1628494140, 2145/165/19 7:29:0,Active
32999,1628494140, 2145/165/19 7:29:0,Active
33999,1628494140, 2145/165/19 7:29:0,Active
34999,1628494140, 2145/165/19 7:29:0,Active
35999,1628494140, 2145/165/19 7:29:0, Inactive
36999,1628494140, 2145/165/19 7:29:0, Inactive
37999,1628494140, 2145/165/19 7:29:0, Inactive
38999,1628494140, 2145/165/19 7:29:0, Inactive
39999,1628494140, 2145/165/19 7:29:0, Inactive
40999,1628494140, 2145/165/19 7:29:0, Inactive
41999,1628494140, 2145/165/19 7:29:0, Inactive
42999,1628494140, 2145/165/19 7:29:0, Inactive
43999,1628494140, 2145/165/19 7:29:0, Inactive
44999,1628494140, 2145/165/19 7:29:0, Inactive
45999,1628494140, 2145/165/19 7:29:0, Inactive
46999,1628494140, 2145/165/19 7:29:0, Inactive
48000,1628494140, 2145/165/19 7:29:0, Inactive
49000,1628494140, 2145/165/19 7:29:0, Inactive
49999,1628494140, 2145/165/19 7:29:0, Inactive
50999,1628494140, 2145/165/19 7:29:0, Inactive
51999,1628494140, 2145/165/19 7:29:0, Inactive
52999,1628494140, 2145/165/19 7:29:0, Inactive
53999,1628494140, 2145/165/19 7:29:0, Inactive
54999,1628494140, 2145/165/19 7:29:0, Inactive
55999,1628494140, 2145/165/19 7:29:0, Inactive
56999,1628494140, 2145/165/19 7:29:0, Inactive
57999,1628494140, 2145/165/19 7:29:0,Active
